year,month,day,tank,size,trt,Leftover (g)
2017,1,17,9,small,0.0%,0.000
2017,1,17,10,large,2.0%,0.860
2017,1,17,11,small,1.0%,0.177
2017,1,17,12,small,0.5%,0.000
2017,1,17,13,small,1.0%,0.174
2017,1,17,14,small,2.0%,0.537
2017,1,17,15,small,0.0%,0.000
2017,1,17,16,small,0.5%,0.000
2017,1,17,17,small,2.0%,0.420
2017,1,17,18,large,0.0%,0.000
2017,1,17,19,small,1.0%,0.154
2017,1,17,20,large,0.5%,0.000
2017,1,17,21,small,0.0%,0.000
2017,1,17,22,small,2.0%,0.533
2017,1,17,23,large,0.5%,0.000
2017,1,17,24,small,1.0%,0.150
2017,1,17,25,large,0.0%,0.000
2017,1,17,26,small,1.0%,0.119
2017,1,17,27,small,2.0%,0.616
2017,1,17,28,small,0.5%,0.000
2017,1,17,29,small,0.5%,0.000
2017,1,17,30,small,2.0%,0.678
2017,1,17,31,small,0.0%,0.000
2017,1,17,32,large,1.0%,0.312
2017,1,17,33,small,0.5%,0.000
2017,1,17,34,large,1.0%,0.490
2017,1,17,35,small,0.0%,0.000
2017,1,17,36,large,2.0%,1.335
2017,1,18,1,large,0.5%,0.000
2017,1,18,2,large,2.0%,0.942
2017,1,18,3,small,0.0%,0.000
2017,1,18,4,small,1.0%,0.082
2017,1,18,5,large,1.0%,0.231
2017,1,18,6,large,0.0%,0.000
2017,1,18,7,small,2.0%,0.333
2017,1,18,8,small,0.5%,0.000
2017,1,18,9,small,0.0%,0.000
2017,1,18,10,large,2.0%,0.750
2017,1,18,11,small,1.0%,0.121
2017,1,18,12,small,0.5%,0.000
2017,1,18,13,small,1.0%,0.148
2017,1,18,14,small,2.0%,0.411
2017,1,18,15,small,0.0%,0.000
2017,1,18,16,small,0.5%,0.000
2017,1,18,17,small,2.0%,0.387
2017,1,18,18,large,0.0%,0.000
2017,1,18,19,small,1.0%,0.092
2017,1,18,20,large,0.5%,0.000
2017,1,18,21,small,0.0%,0.000
2017,1,18,22,small,2.0%,0.395
2017,1,18,23,large,0.5%,0.000
2017,1,18,24,small,1.0%,0.095
2017,1,18,25,large,0.0%,0.000
2017,1,18,26,small,1.0%,0.145
2017,1,18,27,small,2.0%,0.617
2017,1,18,28,small,0.5%,0.000
2017,1,18,29,small,0.5%,0.000
2017,1,18,30,small,2.0%,0.479
2017,1,18,31,small,0.0%,0.000
2017,1,18,32,large,1.0%,0.135
2017,1,18,33,small,0.5%,0.000
2017,1,18,34,large,1.0%,0.336
2017,1,18,35,small,0.0%,0.000
2017,1,18,36,large,2.0%,1.115
2017,1,19,1,large,0.5%,0.000
2017,1,19,2,large,2.0%,1.029
2017,1,19,3,small,0.0%,0.000
2017,1,19,4,small,1.0%,0.115
2017,1,19,5,large,1.0%,0.505
2017,1,19,6,large,0.0%,0.000
2017,1,19,7,small,2.0%,0.444
2017,1,19,8,small,0.5%,0.000
2017,1,19,9,small,0.0%,0.000
2017,1,19,10,large,2.0%,1.041
2017,1,19,11,small,1.0%,0.158
2017,1,19,12,small,0.5%,0.000
2017,1,19,13,small,1.0%,0.183
2017,1,19,14,small,2.0%,0.602
2017,1,19,15,small,0.0%,0.000
2017,1,19,16,small,0.5%,0.000
2017,1,19,17,small,2.0%,0.431
2017,1,19,18,large,0.0%,0.000
2017,1,19,19,small,1.0%,0.233
2017,1,19,20,large,0.5%,0.000
2017,1,19,21,small,0.0%,0.000
2017,1,19,22,small,2.0%,0.537
2017,1,19,23,large,0.5%,0.000
2017,1,19,24,small,1.0%,0.174
2017,1,19,25,large,0.0%,0.000
2017,1,19,26,small,1.0%,0.210
2017,1,19,27,small,2.0%,0.653
2017,1,19,28,small,0.5%,0.000
2017,1,19,29,small,0.5%,0.000
2017,1,19,30,small,2.0%,0.686
2017,1,19,31,small,0.0%,0.000
2017,1,19,32,large,1.0%,0.473
2017,1,19,33,small,0.5%,0.000
2017,1,19,34,large,1.0%,0.518
2017,1,19,35,small,0.0%,0.000
2017,1,19,36,large,2.0%,1.642
2017,1,20,1,large,0.5%,0.000
2017,1,20,2,large,2.0%,0.943
2017,1,20,3,small,0.0%,0.000
2017,1,20,4,small,1.0%,0.098
2017,1,20,5,large,1.0%,0.157
2017,1,20,6,large,0.0%,0.000
2017,1,20,7,small,2.0%,0.430
2017,1,20,8,small,0.5%,0.000
2017,1,20,9,small,0.0%,0.000
